timestamp,switch_dpid,in_port,eth_src,eth_dst,eth_type,protocol,src_ip,dst_ip,src_port,dst_port,length,tcp_flags,ttl,icmp_type
14:41:40.906,0000000000000003,1,52:08:3a:51:b2:32,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::16,,,90,,,143
14:41:40.907,0000000000000003,1,52:08:3a:51:b2:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::2,,,70,,,133
14:41:40.909,0000000000000002,2,46:3a:0b:c3:be:32,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::443a:bff:fec3:be32,ff02::16,,,90,,,143
14:41:40.909,0000000000000002,2,46:3a:0b:c3:be:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::443a:bff:fec3:be32,ff02::2,,,70,,,133
14:41:40.911,0000000000000002,3,52:08:3a:51:b2:32,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::16,,,90,,,143
14:41:40.912,0000000000000002,3,52:08:3a:51:b2:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::2,,,70,,,133
14:41:40.913,0000000000000003,2,46:3a:0b:c3:be:32,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::443a:bff:fec3:be32,ff02::16,,,90,,,143
14:41:40.914,0000000000000003,2,46:3a:0b:c3:be:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::443a:bff:fec3:be32,ff02::2,,,70,,,133
14:41:40.915,0000000000000001,2,52:08:3a:51:b2:32,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::16,,,90,,,143
14:41:40.915,0000000000000001,2,52:08:3a:51:b2:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::2,,,70,,,133
14:41:40.965,0000000000000001,2,a6:7f:b8:d7:e3:82,33:33:00:00:00:fb,0x86dd,UDP,fe80::a47f:b8ff:fed7:e382,ff02::fb,5353,5353,219,,,
14:41:41.096,0000000000000002,1,6a:d7:99:60:36:21,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::68d7:99ff:fe60:3621,ff02::16,,,90,,,143
14:41:41.097,0000000000000002,1,6a:d7:99:60:36:21,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::68d7:99ff:fe60:3621,ff02::2,,,70,,,133
14:41:41.098,0000000000000003,2,36:93:1a:6e:8e:fe,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::3493:1aff:fe6e:8efe,ff02::16,,,90,,,143
14:41:41.098,0000000000000003,2,36:93:1a:6e:8e:fe,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::3493:1aff:fe6e:8efe,ff02::2,,,70,,,133
14:41:41.099,0000000000000003,2,36:93:1a:6e:8e:fe,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::3493:1aff:fe6e:8efe,ff02::16,,,90,,,143
14:41:41.100,0000000000000003,2,6a:d7:99:60:36:21,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::68d7:99ff:fe60:3621,ff02::16,,,90,,,143
14:41:41.101,0000000000000003,2,6a:d7:99:60:36:21,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::68d7:99ff:fe60:3621,ff02::2,,,70,,,133
14:41:41.101,0000000000000001,2,6a:d7:99:60:36:21,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::68d7:99ff:fe60:3621,ff02::16,,,90,,,143
14:41:41.102,0000000000000001,2,6a:d7:99:60:36:21,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::68d7:99ff:fe60:3621,ff02::2,,,70,,,133
14:41:41.161,0000000000000002,3,76:0c:2d:7a:aa:ff,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::16,,,90,,,143
14:41:41.162,0000000000000002,3,76:0c:2d:7a:aa:ff,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::2,,,70,,,133
14:41:41.164,0000000000000002,3,76:0c:2d:7a:aa:ff,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::16,,,90,,,143
14:41:41.165,0000000000000001,2,76:0c:2d:7a:aa:ff,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::16,,,90,,,143
14:41:41.166,0000000000000001,2,76:0c:2d:7a:aa:ff,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::2,,,70,,,133
14:41:41.167,0000000000000001,2,76:0c:2d:7a:aa:ff,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::16,,,90,,,143
14:41:41.216,0000000000000002,3,76:0c:2d:7a:aa:ff,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::16,,,90,,,143
14:41:41.218,0000000000000001,2,a6:7f:b8:d7:e3:82,33:33:00:00:00:fb,0x86dd,UDP,fe80::a47f:b8ff:fed7:e382,ff02::fb,5353,5353,219,,,
14:41:41.219,0000000000000001,2,76:0c:2d:7a:aa:ff,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::16,,,90,,,143
14:41:41.286,0000000000000003,2,36:93:1a:6e:8e:fe,33:33:00:00:00:fb,0x86dd,UDP,fe80::3493:1aff:fe6e:8efe,ff02::fb,5353,5353,219,,,
14:41:41.320,0000000000000003,1,52:08:3a:51:b2:32,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::16,,,90,,,143
14:41:41.323,0000000000000002,3,52:08:3a:51:b2:32,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::16,,,90,,,143
14:41:41.325,0000000000000001,2,52:08:3a:51:b2:32,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::16,,,90,,,143
14:41:41.349,0000000000000002,3,76:0c:2d:7a:aa:ff,33:33:00:00:00:fb,0x86dd,UDP,fe80::740c:2dff:fe7a:aaff,ff02::fb,5353,5353,219,,,
14:41:41.352,0000000000000002,3,76:0c:2d:7a:aa:ff,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::16,,,110,,,143
14:41:41.353,0000000000000001,2,76:0c:2d:7a:aa:ff,33:33:00:00:00:fb,0x86dd,UDP,fe80::740c:2dff:fe7a:aaff,ff02::fb,5353,5353,219,,,
14:41:41.355,0000000000000001,2,76:0c:2d:7a:aa:ff,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::16,,,110,,,143
14:41:41.418,0000000000000002,2,0a:58:f9:f0:98:81,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::858:f9ff:fef0:9881,ff02::16,,,90,,,143
14:41:41.418,0000000000000002,2,0a:58:f9:f0:98:81,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::858:f9ff:fef0:9881,ff02::2,,,70,,,133
